processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
TOPO699-12	UCMVZ-208255	2559660	208255	21055-JLP	University of California, Berkeley, Museum of Vertebrate Zoology		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	470378	Lepus alleni			James L. Patton		Mearns, 1890					James L. Patton								M							37.702	-120.251			281				United States	California	Mariposa County		Horseshoe Bend Recreation Area, 3.1 mi W Coultervi									
GBAAW77204-24	PP527132	24045415	0TPE		Mined from GenBank, NCBI			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	30347	Lepus europaeus					Pallas, 1778																												Unrecoverable													
GBAAW78235-24	OP600581	24046446	ALT1		Mined from GenBank, NCBI			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	142633	Lepus tolai					Pallas, 1778																												Unrecoverable													
GBMA15318-17	KX882048	8456492	MGL-51	KX882048	Mined from GenBank, NCBI		BOLD:AAJ1380	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	142633	Lepus tolai					Pallas, 1778																				48.1803	96.2091							Mongolia													
GBMA15319-17	KX859258	8456493	MGL-65	KX859258	Mined from GenBank, NCBI		BOLD:AAJ1380	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																				48.5801	98.1193							Mongolia													
GBMA15348-17	KP735345	8456522	MVZ:18627	KP735345	Mined from GenBank, NCBI		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus					Gray, 1837																																									
GBMA18380-19	HG763848	9785955			Mined from GenBank, NCBI		BOLD:ACQ4224	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	648657	Lepus peguensis																																														
GBMA22381-19	KP993121	9790051			Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	708183	Lepus coreanus																																														
GBMA22396-19	KP735340	9790066			Mined from GenBank, NCBI		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus					Gray, 1837																																									
GBMA22404-19	KP735369	9790074			Mined from GenBank, NCBI		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus					Gray, 1837																																									
GBMA22470-19	KJ397608	9790140			Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914569	Lepus othus																									38.8208	-96.3316	Coordinates from country centroid						United States													
GBMA22476-19	KJ397614	9790146			Mined from GenBank, NCBI		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus					Gray, 1837																				38.8208	-96.3316	Coordinates from country centroid						United States													
GBMA22500-19	KY211025	9790170			Mined from GenBank, NCBI		BOLD:ADW6318	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	30347	Lepus europaeus					Pallas, 1778																																									
GBMA22502-19	KY211027	9790172			Mined from GenBank, NCBI		BOLD:AAE3012	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	30347	Lepus europaeus					Pallas, 1778																																									
GBMA4665-13	HM233207	3578528	HM233207	HM233207	Mined from GenBank, NCBI		BOLD:ACH3541	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	666074	Lepus sinensis																																														
